timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
925505698,0.0593628,-0.221979,-0.100882,0.837359,0.00997849,0.0409661,-0.545025,0.870776,-0.0397471,-0.0356996,-0.488769,1
925533711,0.016919,-0.307557,0.0587014,0.837465,0.00813824,0.0375589,-0.545138,0.870776,-0.0397471,-0.0356996,-0.488769,1
925565686,-0.0719882,-0.233201,0.158262,0.838727,0.00540937,0.034036,-0.54346,0.870776,-0.0397471,-0.0356996,-0.488769,1
925597757,-0.0383894,-0.0652582,0.0958362,0.83995,0.00379876,0.0327721,-0.541659,0.870776,-0.0397471,-0.0356996,-0.488769,1
925629687,0.00920454,-0.0207592,-0.0408417,0.840126,0.0033136,0.0326896,-0.541396,0.870776,-0.0397471,-0.0356996,-0.488769,1
925661694,0.0104556,0.0819672,-0.11238,0.839295,0.00374975,0.0333876,-0.542637,0.870776,-0.0397471,-0.0356996,-0.488769,1
925694493,-0.00176363,0.0982721,-0.02481,0.838496,0.00503455,0.0352273,-0.543744,0.870776,-0.0397471,-0.0356996,-0.488769,1
925722567,-0.00232562,0.0937141,0.0474268,0.838497,0.00602319,0.0364058,-0.543656,0.870776,-0.0397471,-0.0356996,-0.488769,1
925754618,-0.0215871,0.0378924,0.0830565,0.839099,0.0062941,0.0370379,-0.542679,0.870776,-0.0397471,-0.0356996,-0.488769,1
925786654,-0.0221063,-0.0271812,0.0132939,0.839447,0.00630419,0.0371065,-0.542136,0.870776,-0.0397471,-0.0356996,-0.488769,1
925818549,0.00295457,-0.0650917,-0.0649819,0.839128,0.00562508,0.0363838,-0.542686,0.870776,-0.0397471,-0.0356996,-0.488769,1
925850682,-0.00561062,-0.0214425,-0.0513,0.838612,0.00512955,0.0355976,-0.543541,0.870776,-0.0397471,-0.0356996,-0.488769,1
925882534,0.0312424,-0.0168253,0.0357479,0.838509,0.00508062,0.035442,-0.54371,0.870776,-0.0397471,-0.0356996,-0.488769,1
925914707,-0.0226037,0.0117159,0.0461872,0.838898,0.00512012,0.0357009,-0.543093,0.870776,-0.0397471,-0.0356996,-0.488769,1
925946592,0.0468634,0.0359929,0.0107304,0.839212,0.00549573,0.0361182,-0.542576,0.870776,-0.0397471,-0.0356996,-0.488769,1
925974572,-0.0192453,0.00901634,-0.0393844,0.839088,0.00556556,0.0363614,-0.542751,0.870776,-0.0397471,-0.0356996,-0.488769,1
926006554,0.0104271,-0.035217,-0.0440977,0.838662,0.00539505,0.0361745,-0.543423,0.870776,-0.0397471,-0.0356996,-0.488769,1
926039255,-0.00785325,-0.045716,0.00530909,0.838502,0.00512957,0.0356968,-0.543704,0.870776,-0.0397471,-0.0356996,-0.488769,1
926071308,-0.00897009,-0.0121324,0.0543669,0.838825,0.00496859,0.0354381,-0.543223,0.870776,-0.0397471,-0.0356996,-0.488769,1
926103310,-0.00265595,0.0141138,0.0120326,0.839123,0.0049548,0.0355154,-0.542759,0.870776,-0.0397471,-0.0356996,-0.488769,1
926135338,0.00932196,0.0236586,-0.0301193,0.839022,0.00515804,0.0357627,-0.542896,0.870776,-0.0397471,-0.0356996,-0.488769,1
926163305,0.000552694,0.0242497,-0.0433847,0.838682,0.00533757,0.0361144,-0.543397,0.870776,-0.0397471,-0.0356996,-0.488769,1
926195335,-0.00621169,-0.0243538,0.000956171,0.838513,0.00538619,0.0362412,-0.543649,0.870776,-0.0397471,-0.0356996,-0.488769,1
926227337,-0.000590319,-0.0215576,0.0391546,0.8387,0.00535738,0.0360797,-0.54337,0.870776,-0.0397471,-0.0356996,-0.488769,1
926259301,0.0134161,-0.0235255,0.0227841,0.839001,0.00523873,0.0358565,-0.542922,0.870776,-0.0397471,-0.0356996,-0.488769,1
926291309,-0.0249524,0.000197653,-0.0127882,0.839001,0.00509428,0.0357552,-0.54293,0.870776,-0.0397471,-0.0356996,-0.488769,1
926323345,0.0190133,0.0135054,-0.0463409,0.838679,0.00521241,0.0358154,-0.543423,0.870776,-0.0397471,-0.0356996,-0.488769,1
926352122,0.01852,0.00567966,-0.00903936,0.838504,0.0053068,0.0360452,-0.543677,0.870776,-0.0397471,-0.0356996,-0.488769,1
926384144,-0.0146449,0.0160479,0.0237017,0.838607,0.00548366,0.0362212,-0.543503,0.870776,-0.0397471,-0.0356996,-0.488769,1
926416116,-0.00936648,0.00156652,0.0211563,0.838867,0.00552627,0.0363729,-0.543092,0.870776,-0.0397471,-0.0356996,-0.488769,1
926448197,-0.0287108,-0.0169269,-0.00634739,0.838889,0.00544252,0.036384,-0.543058,0.870776,-0.0397471,-0.0356996,-0.488769,1
926480138,0.0275349,-0.000333963,-0.0223311,0.838689,0.00542493,0.0362841,-0.543374,0.870776,-0.0397471,-0.0356996,-0.488769,1
926512198,0.0118789,0.00400939,-0.000952694,0.838525,0.00540097,0.0363426,-0.543622,0.870776,-0.0397471,-0.0356996,-0.488769,1
926544055,-0.0028915,-0.00316704,0.0222196,0.838641,0.00547284,0.0363073,-0.543445,0.870776,-0.0397471,-0.0356996,-0.488769,1
926576118,-0.0184676,-0.0102185,0.0208897,0.838828,0.0053694,0.0364181,-0.54315,0.870776,-0.0397471,-0.0356996,-0.488769,1
926608120,-0.0111314,-0.00999434,-0.0160464,0.838832,0.00541246,0.0364145,-0.543145,0.870776,-0.0397471,-0.0356996,-0.488769,1
926636133,-0.0189277,-0.0192892,-0.0190948,0.838689,0.00526356,0.0363159,-0.543372,0.870776,-0.0397471,-0.0356996,-0.488769,1
926668146,-0.0105438,0.00286433,-0.0076595,0.838575,0.00526274,0.0362257,-0.543554,0.870776,-0.0397471,-0.0356996,-0.488769,1
926701070,0.00506831,-0.00512106,0.01611,0.83864,0.00518257,0.0361829,-0.543458,0.870776,-0.0397471,-0.0356996,-0.488769,1
926732924,-0.00133102,0.00598578,0.00798352,0.838781,0.00520868,0.0361782,-0.54324,0.870776,-0.0397471,-0.0356996,-0.488769,1
926764863,0.0127446,0.0067892,-0.00751087,0.838769,0.00524376,0.0362767,-0.543251,0.870776,-0.0397471,-0.0356996,-0.488769,1
926796921,0.00329221,0.00507515,-0.0180924,0.83866,0.00522727,0.0363083,-0.543419,0.870776,-0.0397471,-0.0356996,-0.488769,1
926828922,-0.00776892,-0.00877426,0.00129053,0.838567,0.0051712,0.0362892,-0.543564,0.870776,-0.0397471,-0.0356996,-0.488769,1
926860962,-0.0105776,-0.0102283,0.0104827,0.838652,0.00515471,0.036243,-0.543436,0.870776,-0.0397471,-0.0356996,-0.488769,1
926892833,-0.0117629,-0.00551155,0.00280636,0.83875,0.00512677,0.0361428,-0.543292,0.870776,-0.0397471,-0.0356996,-0.488769,1
926924994,0.00514663,-0.00328909,-0.00551594,0.838749,0.00508268,0.0361445,-0.543294,0.870776,-0.0397471,-0.0356996,-0.488769,1
926956913,-0.00181227,-0.00351707,-0.00974658,0.838649,0.00512073,0.0362101,-0.543443,0.870776,-0.0397471,-0.0356996,-0.488769,1
926988948,-0.00992694,0.00186079,-0.000721198,0.838575,0.00510278,0.0362,-0.543558,0.870776,-0.0397471,-0.0356996,-0.488769,1
927020876,-0.00500484,-0.000273531,0.0109242,0.838656,0.00510445,0.0362129,-0.543433,0.870776,-0.0397471,-0.0356996,-0.488769,1
927049801,0.00961982,-0.0161399,0.00466398,0.838728,0.0050971,0.0360835,-0.543331,0.870776,-0.0397471,-0.0356996,-0.488769,1
927081668,-0.00491261,0.000221785,-0.00572992,0.83872,0.00493814,0.0360302,-0.543348,0.870776,-0.0397471,-0.0356996,-0.488769,1
927113723,0.00488924,-0.00738528,-0.011481,0.838643,0.00499257,0.0359342,-0.543472,0.870776,-0.0397471,-0.0356996,-0.488769,1
927145697,-0.00171181,-0.00692612,-0.00424279,0.838576,0.00489717,0.0358657,-0.543581,0.870776,-0.0397471,-0.0356996,-0.488769,1
927177682,0.00210995,0.0024923,0.00658466,0.838611,0.00491413,0.0358988,-0.543525,0.870776,-0.0397471,-0.0356996,-0.488769,1
